Date,Lido Finance ($),Frax Ether ($),StakeWise ($),StakeStone ($),Stader ($)
2021-01-07,2382.33,,,,
2021-01-08,0.00,,,,
2021-01-09,3154.41,,,,
2021-01-10,1573.30,,,,
2021-01-11,1392.29,,,,
2021-01-12,1739.38,,,,
2021-01-13,1884.98,,,,
2021-01-14,1999.19,,,,
2021-01-15,2391.42,,,,
2021-01-16,2647.79,,,,
2021-01-17,2715.10,,,,
2021-01-18,4128.57,,,,
2021-01-19,4638.95,,,,
2021-01-20,0.00,,,,
2021-01-21,4539.98,,,,
2021-01-22,10761.45,,,,
2021-01-23,5578.25,,,,
2021-01-24,6162.34,,,,
2021-01-25,6154.35,,,,
2021-01-26,6466.91,,,,
2021-01-27,6067.86,,,,
2021-01-28,6797.81,,,,
2021-01-29,7823.17,,,,
2021-01-30,8484.61,,,,
2021-01-31,8683.14,,,,
2021-02-01,11237.36,,,,
2021-02-02,19769.53,,,,
2021-02-03,18308.04,,,,
2021-02-04,23447.09,,,,
2021-02-05,28672.84,,,,
2021-02-06,28933.07,,,,
2021-02-07,28414.56,,,,
2021-02-08,30221.95,,,,
2021-02-09,25934.80,,,,
2021-02-10,28823.62,,,,
2021-02-11,32891.63,,,,
2021-02-12,33391.99,,,,
2021-02-13,33208.43,,,,
2021-02-14,37445.43,,,,
2021-02-15,40358.76,,,,
2021-02-16,38207.76,,,,
2021-02-17,47176.94,,,,
2021-02-18,55768.42,,,,
2021-02-19,60013.62,,,,
2021-02-20,60679.25,,,,
2021-02-21,65519.19,,,,
2021-02-22,58540.18,,,,
2021-02-23,0.00,,,,
2021-02-24,0.00,,,,
2021-02-25,158421.18,,,,
2021-02-26,54595.19,,,,
2021-02-27,57874.88,,,,
2021-02-28,54957.68,,,,
2021-03-01,62002.19,,,,
2021-03-02,58075.15,,,,
2021-03-03,61094.18,,,,
2021-03-04,59603.41,,,,
2021-03-05,58953.82,,,,
2021-03-06,64095.98,,,,
2021-03-07,63827.78,,,,
2021-03-08,69442.12,,,,
2021-03-09,71288.88,,,,
2021-03-10,0.00,,,,
2021-03-11,102832.78,,,,
2021-03-12,65029.33,,,,
2021-03-13,74992.42,,,,
2021-03-14,71126.43,,,,
2021-03-15,69273.56,,,,
2021-03-16,0.00,,,,
2021-03-17,0.00,,,,
2021-03-18,196787.36,,,,
2021-03-19,67731.44,,,,
2021-03-20,70622.56,,,,
2021-03-21,67254.45,,,,
2021-03-22,61576.67,,,,
2021-03-23,63685.72,,,,
2021-03-24,61117.62,,,,
2021-03-25,60713.05,,,,
2021-03-26,63533.85,,,,
2021-03-27,66172.60,,,,
2021-03-28,65065.84,,,,
2021-03-29,68396.95,,,,
2021-03-30,71908.39,,,,
2021-03-31,75760.40,,,,
2021-04-01,77618.19,,,,
2021-04-02,81705.51,,,,
2021-04-03,79178.79,,,,
2021-04-04,81940.71,,,,
2021-04-05,81831.36,,,,
2021-04-06,83075.42,,,,
2021-04-07,77101.36,,,,
2021-04-08,80318.66,,,,
2021-04-09,78146.45,,,,
2021-04-10,84663.69,,,,
2021-04-11,84690.28,,,,
2021-04-12,87330.74,,,,
2021-04-13,96761.86,,,,
2021-04-14,106430.50,,,,
2021-04-15,113900.46,,,,
2021-04-16,109684.64,,,,
2021-04-17,105367.08,,,,
2021-04-18,99720.80,,,,
2021-04-19,98015.99,,,,
2021-04-20,106628.67,,,,
2021-04-21,111184.16,,,,
2021-04-22,115654.05,,,,
2021-04-23,118105.57,,,,
2021-04-24,109769.89,,,,
2021-04-25,114881.55,,,,
2021-04-26,126628.45,,,,
2021-04-27,133474.69,,,,
2021-04-28,137420.42,,,,
2021-04-29,138240.50,,,,
2021-04-30,140649.41,,,,
2021-05-01,149045.74,,,,
2021-05-02,149499.00,,,,
2021-05-03,174131.79,,,,
2021-05-04,164767.54,,,,
2021-05-05,179056.24,,,,
2021-05-06,170218.41,,,,
2021-05-07,174865.72,,,,
2021-05-08,202057.36,,,,
2021-05-09,207229.95,,,,
2021-05-10,208342.16,,,,
2021-05-11,214039.76,,,,
2021-05-12,206483.27,,,,
2021-05-13,218557.59,,,,
2021-05-14,196316.18,,,,
2021-05-15,205095.34,,,,
2021-05-16,228571.31,,,,
2021-05-17,208744.57,,,,
2021-05-18,214555.37,,,,
2021-05-19,155148.41,,,,
2021-05-20,174445.29,,,,
2021-05-21,153873.68,,,,
2021-05-22,148085.68,,,,
2021-05-23,135300.46,,,,
2021-05-24,169026.70,,,,
2021-05-25,174174.57,,,,
2021-05-26,185161.75,,,,
2021-05-27,175697.54,,,,
2021-05-28,160950.57,,,,
2021-05-29,160905.55,,,,
2021-05-30,177433.38,,,,
2021-05-31,200976.17,,,,
2021-06-01,199021.38,,,,
2021-06-02,203841.88,,,,
2021-06-03,214373.08,,,,
2021-06-04,201882.03,,,,
2021-06-05,196871.16,,,,
2021-06-06,201408.22,,,,
2021-06-07,193061.75,,,,
2021-06-08,190128.90,,,,
2021-06-09,201871.34,,,,
2021-06-10,190806.24,,,,
2021-06-11,182806.66,,,,
2021-06-12,186443.03,,,,
2021-06-13,197576.73,,,,
2021-06-14,204348.94,,,,
2021-06-15,201135.95,,,,
2021-06-16,186612.44,,,,
2021-06-17,165425.42,,,,
2021-06-18,177497.26,,,,
2021-06-19,171864.98,,,,
2021-06-20,177979.97,,,,
2021-06-21,151040.02,,,,
2021-06-22,153650.98,,,,
2021-06-23,166780.28,,,,
2021-06-24,168789.80,,,,
2021-06-25,154456.77,,,,
2021-06-26,156942.32,,,,
2021-06-27,172547.85,,,,
2021-06-28,182130.54,,,,
2021-06-29,191260.50,,,,
2021-06-30,201166.74,,,,
2021-07-01,187286.60,,,,
2021-07-02,189388.96,,,,
2021-07-03,195737.59,,,,
2021-07-04,203672.14,,,,
2021-07-05,192710.51,,,,
2021-07-06,204149.08,,,,
2021-07-07,204691.79,,,,
2021-07-08,188814.66,,,,
2021-07-09,195239.57,,,,
2021-07-10,196858.77,,,,
2021-07-11,199888.91,,,,
2021-07-12,191069.95,,,,
2021-07-13,187650.26,,,,
2021-07-14,190848.69,,,,
2021-07-15,183744.80,,,,
2021-07-16,179834.25,,,,
2021-07-17,182105.04,,,,
2021-07-18,181115.92,,,,
2021-07-19,173610.24,,,,
2021-07-20,175680.16,,,,
2021-07-21,200635.52,,,,
2021-07-22,203044.74,,,,
2021-07-23,212890.77,,,,
2021-07-24,220138.13,,,,
2021-07-25,225981.78,,,,
2021-07-26,231670.99,,,,
2021-07-27,238704.49,,,,
2021-07-28,238453.69,,,,
2021-07-29,248165.80,,,,
2021-07-30,257856.31,,,,
2021-07-31,267900.65,,,,
2021-08-01,271103.17,,,,
2021-08-02,278444.57,,,,
2021-08-03,268698.49,,,,
2021-08-04,294495.10,,,,
2021-08-05,308838.25,,,,
2021-08-06,322768.52,,,,
2021-08-07,357390.77,,,,
2021-08-08,341727.72,,,,
2021-08-09,360647.63,,,,
2021-08-10,358080.63,,,,
2021-08-11,364341.61,,,,
2021-08-12,349802.37,,,,
2021-08-13,381331.09,,,,
2021-08-14,375228.82,,,,
2021-08-15,385243.79,,,,
2021-08-16,367577.62,,,,
2021-08-17,352107.37,,,,
2021-08-18,360178.04,,,,
2021-08-19,389342.14,,,,
2021-08-20,393416.86,,,,
2021-08-21,376220.04,,,,
2021-08-22,406170.52,,,,
2021-08-23,410297.48,,,,
2021-08-24,394136.72,,,,
2021-08-25,395728.13,,,,
2021-08-26,392379.20,,,,
2021-08-27,417746.60,,,,
2021-08-28,426370.30,,,,
2021-08-29,434457.49,,,,
2021-08-30,442666.58,,,,
2021-08-31,480619.60,,,,
2021-09-01,535978.12,,,,
2021-09-02,537939.63,,,,
2021-09-03,568878.45,,,,
2021-09-04,581517.36,,,,
2021-09-05,600203.97,,,,
2021-09-06,591474.12,,,,
2021-09-07,512085.93,,,,
2021-09-08,509465.45,,,,
2021-09-09,505266.61,,,,
2021-09-10,502416.20,,,,
2021-09-11,521369.86,,,,
2021-09-12,554133.21,,,,
2021-09-13,543380.90,,,,
2021-09-14,565735.22,,,,
2021-09-15,593972.58,,,,
2021-09-16,607172.91,,,,
2021-09-17,595755.17,,,,
2021-09-18,608654.59,,,,
2021-09-19,591471.98,,,,
2021-09-20,530027.35,,,,
2021-09-21,501700.50,,,,
2021-09-22,556151.98,,,,
2021-09-23,575262.30,,,,
2021-09-24,521076.05,,,,
2021-09-25,527993.39,,,,
2021-09-26,556981.27,,,,
2021-09-27,532549.95,,,,
2021-09-28,505858.97,,,,
2021-09-29,519076.22,,,,
2021-09-30,550084.46,,,,
2021-10-01,604174.61,,,,
2021-10-02,622542.87,,,,
2021-10-03,625877.48,,,,
2021-10-04,621892.26,,,,
2021-10-05,646304.71,,,,
2021-10-06,654235.70,,,,
2021-10-07,667128.87,,,,
2021-10-08,672030.32,,,,
2021-10-09,679594.13,,,,
2021-10-10,648527.95,,,,
2021-10-11,650136.73,,,,
2021-10-12,662934.65,,,,
2021-10-13,654984.38,,,,
2021-10-14,667079.88,,,,
2021-10-15,718731.49,,,,
2021-10-16,722045.96,,,,
2021-10-17,670755.47,,,,
2021-10-18,597957.93,,,,
2021-10-19,722335.01,,,,
2021-10-20,784470.73,,,,
2021-10-21,767237.72,,,,
2021-10-22,751361.49,,,,
2021-10-23,786494.16,,,,
2021-10-24,772818.72,,,,
2021-10-25,797522.32,,,,
2021-10-26,783007.13,,,,
2021-10-27,747968.72,,,,
2021-10-28,768694.30,,,,
2021-10-29,826516.62,,,,
2021-10-30,815005.19,,,,
2021-10-31,815614.84,,,,
2021-11-01,829776.07,,,,
2021-11-02,885065.61,,,,
2021-11-03,892267.83,,,,
2021-11-04,876267.31,,,,
2021-11-05,875787.27,,,,
2021-11-06,877710.35,,,,
2021-11-07,904201.88,,,,
2021-11-08,932535.19,,,,
2021-11-09,922861.80,,,,
2021-11-10,898888.26,,,,
2021-11-11,918108.19,,,,
2021-11-12,910933.64,,,,
2021-11-13,899909.84,,,,
2021-11-14,897720.29,,,,
2021-11-15,887920.70,,,,
2021-11-16,824917.08,,,,
2021-11-17,830112.24,,,,
2021-11-18,785680.02,,,,
2021-11-19,858995.74,,,,
2021-11-20,881587.32,,,,
2021-11-21,845156.68,,,,
2021-11-22,815346.56,,,,
2021-11-23,862832.89,,,,
2021-11-24,854903.70,,,,
2021-11-25,907250.18,,,,
2021-11-26,813749.52,,,,
2021-11-27,818629.12,,,,
2021-11-28,860890.02,,,,
2021-11-29,893359.38,,,,
2021-11-30,945593.60,,,,
2021-12-01,926133.25,,,,
2021-12-02,909247.74,,,,
2021-12-03,847337.56,,,,
2021-12-04,821200.92,,,,
2021-12-05,852903.34,,,,
2021-12-06,888246.28,,,,
2021-12-07,875895.15,,,,
2021-12-08,904197.54,,,,
2021-12-09,855756.78,,,,
2021-12-10,806457.48,,,,
2021-12-11,844706.38,,,,
2021-12-12,857378.92,,,,
2021-12-13,782235.12,,,,
2021-12-14,804063.88,,,,
2021-12-15,839412.67,,,,
2021-12-16,828134.40,,,,
2021-12-17,810652.47,,,,
2021-12-18,825751.90,,,,
2021-12-19,825806.50,,,,
2021-12-20,824649.43,,,,
2021-12-21,854807.90,,,,
2021-12-22,843376.46,,,,
2021-12-23,863576.21,,,,
2021-12-24,848644.70,,,,
2021-12-25,871728.09,,,,
2021-12-26,869252.66,,,,
2021-12-27,862401.74,,,,
2021-12-28,812555.27,,,,
2021-12-29,770565.71,,,,
2021-12-30,794193.17,,,,
2021-12-31,790972.15,,,,
2022-01-01,806142.17,,,,
2022-01-02,825961.19,,,,
2022-01-03,810688.19,,,,
2022-01-04,816691.63,,,,
2022-01-05,760285.75,,13699.49,,
2022-01-06,738926.81,,21087.06,,
2022-01-07,692109.92,,12369.95,,
2022-01-08,670261.19,,12093.66,,
2022-01-09,689246.28,,13652.08,,
2022-01-10,672729.92,,12434.04,,
2022-01-11,693953.18,,12896.47,,
2022-01-12,739006.22,,12811.66,,
2022-01-13,712246.51,,14295.18,,
2022-01-14,730442.91,,0.00,,
2022-01-15,734410.91,,13477.65,,
2022-01-16,736456.89,,22355.32,,
2022-01-17,700017.62,,15890.98,,
2022-01-18,693315.42,,0.00,,
2022-01-19,681814.64,,13421.75,,
2022-01-20,661355.55,,12543.41,,
2022-01-21,558769.61,,15481.85,,
2022-01-22,533286.69,,10314.11,,
2022-01-23,561049.05,,11509.40,,
2022-01-24,542821.18,,10135.42,,
2022-01-25,555030.33,,10485.29,,
2022-01-26,562386.49,,10809.51,,
2022-01-27,553981.09,,10614.50,,
2022-01-28,582271.26,,11101.23,,
2022-01-29,582611.56,,0.00,,
2022-01-30,595914.69,,26017.04,,
2022-01-31,622383.99,,14067.11,,
2022-02-01,638939.25,,12158.57,,
2022-02-02,614800.34,,12156.99,,
2022-02-03,617715.72,,13009.62,,
2022-02-04,680548.82,,13981.17,,
2022-02-05,696733.81,,14218.97,,
2022-02-06,709657.50,,14035.43,,
2022-02-07,718476.86,,14838.96,,
2022-02-08,727114.51,,15654.27,,
2022-02-09,755579.33,,17295.91,,
2022-02-10,715389.68,,16218.92,,
2022-02-11,681107.02,,15305.14,,
2022-02-12,684927.67,,15493.58,,
2022-02-13,676990.03,,14999.34,,
2022-02-14,693216.64,,0.00,,
2022-02-15,752074.78,,17153.72,,
2022-02-16,741232.70,,17656.47,,
2022-02-17,694667.32,,15100.28,,
2022-02-18,668788.64,,15390.54,,
2022-02-19,660765.14,,14418.99,,
2022-02-20,634642.08,,20047.05,,
2022-02-21,620514.93,,14007.52,,
2022-02-22,636312.45,,13516.70,,
2022-02-23,623393.94,,0.00,,
2022-02-24,627506.31,,29850.81,,
2022-02-25,677064.65,,0.00,,
2022-02-26,686643.93,,13901.94,,
2022-02-27,648341.68,,18073.23,,
2022-02-28,722961.78,,15305.93,,
2022-03-01,737468.90,,15331.91,,
2022-03-02,733274.09,,15979.29,,
2022-03-03,715882.05,,14363.40,,
2022-03-04,657234.21,,13159.59,,
2022-03-05,684741.64,,13564.53,,
2022-03-06,654776.82,,13310.34,,
2022-03-07,648208.87,,13054.71,,
2022-03-08,669672.24,,13722.99,,
2022-03-09,716701.38,,14532.25,,
2022-03-10,694413.59,,13666.80,,
2022-03-11,678592.67,,14314.77,,
2022-03-12,686934.89,,13458.39,,
2022-03-13,685447.64,,13307.36,,
2022-03-14,705906.06,,13439.80,,
2022-03-15,723459.92,,13110.45,,
2022-03-16,758101.26,,14126.28,,
2022-03-17,789223.02,,15911.47,,
2022-03-18,824849.38,,0.00,,
2022-03-19,831578.59,,0.00,,
2022-03-20,817347.34,,0.00,,
2022-03-21,844340.01,,62130.89,,
2022-03-22,877763.05,,16483.57,,
2022-03-23,898672.98,,16251.80,,
2022-03-24,935060.18,,16035.52,,
2022-03-25,935331.36,,22526.43,,
2022-03-26,960123.81,,16008.41,,
2022-03-27,1016347.37,,18442.02,,
2022-03-28,1041738.90,,16694.39,,
2022-03-29,1062339.38,,19041.11,,
2022-03-30,1067720.50,,18170.78,,
2022-03-31,1043408.78,,17020.58,,
2022-04-01,1115327.35,,0.00,,
2022-04-02,1123325.51,,17419.91,,
2022-04-03,1160024.49,,27076.67,,
2022-04-04,1169214.68,,18856.39,,
2022-04-05,1133968.17,,16713.25,,
2022-04-06,1067145.32,,15950.31,,
2022-04-07,1082104.43,,16323.07,,
2022-04-08,1073687.80,,15912.99,,
2022-04-09,1117764.14,,16171.29,,
2022-04-10,1096203.48,,16797.29,,
2022-04-11,1029538.71,,14547.36,,
2022-04-12,1055702.73,,15018.79,,
2022-04-13,1096387.23,,17017.36,,
2022-04-14,1064487.83,,15620.70,,
2022-04-15,1076913.58,,15395.09,,10.03
2022-04-16,1097265.72,,15435.73,,0.00
2022-04-17,1073096.76,,0.00,,0.00
2022-04-18,1102265.35,,14870.13,,33.47
2022-04-19,1122009.07,,30696.13,,0.00
2022-04-20,1128498.28,,17177.50,,81.28
2022-04-21,1105427.24,,19974.20,,0.00
2022-04-22,1095324.64,,19938.02,,0.00
2022-04-23,1091109.83,,19706.64,,0.00
2022-04-24,1101777.55,,20297.25,,0.00
2022-04-25,1143225.09,,22400.58,,203.01
2022-04-26,1074010.85,,20793.63,,0.00
2022-04-27,1100753.54,,19722.60,,291.31
2022-04-28,1124546.68,,20678.49,,0.00
2022-04-29,1090562.73,,18754.13,,740.65
2022-04-30,1073199.09,,19215.65,,0.00
2022-05-01,1106614.66,,19152.88,,0.00
2022-05-02,1121238.99,,0.00,,0.00
2022-05-03,1094087.07,,19009.81,,2096.59
2022-05-04,1162114.35,,20151.02,,0.00
2022-05-05,1090496.53,,18016.89,,2364.29
2022-05-06,1077763.10,,17434.50,,0.00
2022-05-07,1053443.15,,17080.40,,0.00
2022-05-08,1016700.64,,16833.54,,0.00
2022-05-09,901193.39,,14848.19,,742.02
2022-05-10,962985.62,,17059.25,,0.00
2022-05-11,854307.50,,14127.82,,0.00
2022-05-12,811143.89,,13993.19,,0.00
2022-05-13,830381.33,,13859.05,,0.00
2022-05-14,854366.24,,17942.29,,0.00
2022-05-15,906222.77,,15182.36,,0.00
2022-05-16,861535.35,,13443.22,,6279.40
2022-05-17,902241.44,,16655.96,,0.00
2022-05-18,828549.08,,14557.97,,0.00
2022-05-19,880528.90,,14586.81,,0.00
2022-05-20,848490.24,,13186.30,,3271.24
2022-05-21,862770.14,,13193.86,,0.00
2022-05-22,907138.96,,13878.52,,0.00
2022-05-23,872686.90,,12983.50,,0.00
2022-05-24,896403.87,,12989.51,,0.00
2022-05-25,880964.21,,13169.58,,0.00
2022-05-26,820598.82,,12088.99,,1829.88
2022-05-27,785523.61,,12435.23,,0.00
2022-05-28,825240.57,,12580.42,,0.00
2022-05-29,827884.19,,12441.79,,0.00
2022-05-30,915032.40,,13736.32,,0.00
2022-05-31,894120.41,,13494.08,,7723.96
2022-06-01,842646.41,,0.00,,0.00
2022-06-02,843013.44,,0.00,,0.00
2022-06-03,818860.21,,24483.48,,0.00
2022-06-04,829286.31,,22904.93,,0.00
2022-06-05,826652.23,,12814.71,,0.00
2022-06-06,855749.78,,12742.51,,6832.22
2022-06-07,832667.22,,12979.64,,0.00
2022-06-08,820344.40,,12252.70,,0.00
2022-06-09,822620.16,,11968.94,,0.00
2022-06-10,753108.01,,12344.85,,6584.40
2022-06-11,697593.65,,10558.26,,0.00
2022-06-12,654433.81,,10192.57,,0.00
2022-06-13,547730.95,,8334.74,,0.00
2022-06-14,545774.71,,8619.08,,0.00
2022-06-15,557565.74,,8767.45,,0.00
2022-06-16,475002.23,,7097.82,,6323.10
2022-06-17,485057.02,,7559.49,,0.00
